t,X,dX,Y,dY
0.0,0.0,1.992795250128895,1.2,-0.0570941477048641
0.04081632653061224,0.08133858163791408,1.9713538865283018,1.1976696266242912,-0.1138965923823473
0.08163265306122448,0.16092684787986136,1.9078865469191342,1.190702318989196,-0.22663051472471377
0.12244897959183673,0.23708442220274134,1.804927980712527,1.179169176442682,-0.3370556036145239
0.16326530612244897,0.30826790752986355,1.6665858965449454,1.16318757583699,-0.44405846321329584
0.2040816326530612,0.3731322504921246,1.4983707478215071,1.1429195059762904,-0.5465742385184531
0.24489795918367346,0.4305838869438641,1.306967407080249,1.1185692706518102,-0.6436016662341646
0.2857142857142857,0.47982346739663473,1.0999582051810848,1.0903805944469709,-0.7342171793554676
0.32653061224489793,0.5203763934892588,0.8855088297424577,1.0586331743778945,-0.8175878557305832
0.36734693877551017,0.5521099024776517,0.6720301185938375,1.0236387286730457,-0.8929830181653186
0.4081632653061224,0.5752359950071231,0.46782978430991057,0.9857366014664399,-0.9597843138117593
0.44897959183673464,0.5903000889519301,0.28076852362576576,0.945288988770045,-1.0174941233388315
0.4897959183673469,0.5981558744867774,0.11793478336371556,0.9026758567040863,-1.0657421753742364
0.5306122448979591,0.599927418206111,-0.01464832000716221,0.8582896275150053,-1.1042902685612173
0.5714285714285714,0.596960093261703,-0.11227176476177063,0.8125297123317421,-1.1330350318877103
0.6122448979591836,0.5907623761847419,-0.1717347493446992,0.7657969718507024,-1.1520086832957397
0.6530612244897959,0.5829409300498908,-0.19147612386589624,0.7184881871647429,-1.161377776525745
0.6938775510204082,0.5751316721956892,-0.1716376749690505,0.67099062274656,-1.161439956245646
0.7346938775510203,0.5689296912769071,-0.11405663995311861,0.6236767621650984,-1.152618771307205
0.7755102040816326,0.5658209260770672,-0.02218776351499344,0.5768992944765841,-1.1354566250164355
0.8163265306122448,0.5671184452756831,0.09904186504197905,0.5309864254290628,-1.1106059691658308
0.8571428571428571,0.5739059762845757,0.24343916620347633,0.4862375827079448,-1.0788188748364407
0.8979591836734693,0.5869910302718853,0.40380404842191947,0.4429195785036391,-1.040935137244576
0.9387755102040816,0.6068695720741202,0.5722302579754635,0.40126328579002024,-0.9978690938176088
0.9795918367346939,0.6337037043923313,0.740435610398756,0.3614608769675078,-0.9505953539079111
1.0204081632653061,0.6673132953719778,0.9001078937745715,0.32366366506284383,-0.9001336548057554
1.0612244897959182,0.7071818998025003,1.0432520836008683,0.28798057861601756,-0.847533071747617
1.1020408163265305,0.7524767307679671,1.1625244544020543,0.25447729185895673,-0.7938558192405984
1.1428571428571428,0.8020818552638925,1.2515397170008022,0.22317602194331565,-0.7401608870927262
1.183673469387755,0.8546432382782366,1.3051384298393094,0.19405599495342807,-0.6874877569617417
1.2244897959183672,0.9086237679038361,1.3196035814729825,0.16705457239541838,-0.6368404439755043
1.2653061224489794,0.9623659796229699,1.2928173509246441,0.14206901993501955,-0.5891721030543474
1.3061224489795917,1.014159878183399,1.2243515354265022,0.11895889051343084,-0.5453704310533716
1.346938775510204,1.062313043739419,1.1154878881397723,0.09754898474698923,-0.5062440838682343
1.3877551020408163,1.105220113949911,0.9691675174627974,0.07763284285071784,-0.47251031239105906
1.4285714285714284,1.1414287594506678,0.7898714437790334,0.0589767143477191,-0.44478400289214526
1.4693877551020407,1.1696994154828932,0.5834372667554886,0.041323944655440675,-0.4235682863124643
1.510204081632653,1.1890562914307077,0.3568195479904761,0.024399711383436308,-0.4092468573975022
1.5510204081632653,1.1988275418494627,0.11780384986789262,0.007916037929113965,-0.4020781189375757
1.5918367346938773,1.19867293223625,-0.12531370505353961,-0.008422992203304561,-0.40219123898794024
1.6326530612244896,1.1885978516410105,-0.36406805873760073,-0.02491589994745258,-0.40958418023377813
1.673469387755102,1.1689530907066499,-0.5901738518424549,-0.04185843548769461,-0.42412373107096096
1.7142857142857142,1.140420394347749,-0.7958666018307812,-0.05953824534100041,-0.44554753793618174
1.7551020408163265,1.103984388516382,-0.9742222689416175,-0.07822966307432169,-0.4734681083898159
1.7959183673469385,1.060892045862719,-1.119441950946698,-0.09818870316874048,-0.5073787248814318
1.8367346938775508,1.01260137211257,-1.2270898949236637,-0.11964833449321408,-0.5466611804541416
1.8775510204081631,0.9607214421954811,-1.2942749518274337,-0.14281410565479286,-0.5905952202995762
1.9183673469387754,0.906946274004208,-1.3197679470115264,-0.16786018921154683,-0.6383695474695903
1.9591836734693877,0.8529852832557646,-1.304050099615904,-0.1949259054482288,-0.6890942275676492
2.0,0.8004932046478077,-1.2860559258949442,-0.2241127792170692,-0.7150784073365901
